timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168388.782,39.062,19.531,5.371,-3.906,37.109
1711168388.786,40.527,24.414,6.348,-5.859,28.809
1711168388.790,-7.324,20.020,6.836,5.859,41.504
1711168388.794,-21.973,19.043,3.418,7.324,61.523
1711168388.798,25.879,22.949,2.441,5.859,44.922
1711168388.802,52.246,20.508,3.418,14.648,27.344
1711168388.806,12.207,15.625,4.883,18.555,22.949
1711168388.810,-12.695,17.090,9.766,20.996,55.176
1711168388.814,20.996,19.043,11.719,16.602,46.875
1711168388.818,53.223,22.461,11.719,6.348,-23.438
1711168388.821,26.367,22.949,16.602,6.836,-9.277
1711168388.825,-18.555,16.602,14.160,12.207,21.484
1711168388.829,7.812,17.090,8.301,12.207,8.301
1711168388.833,50.293,11.230,11.230,9.766,26.367
1711168388.837,28.809,9.277,12.695,8.789,28.809
1711168388.841,-17.090,16.113,5.859,8.789,53.711
1711168388.845,-7.812,16.113,4.883,20.996,111.816
1711168388.849,42.969,16.602,6.836,21.973,88.867
1711168388.853,54.199,21.484,7.324,9.277,33.203
1711168388.857,0.488,25.391,9.766,17.090,39.062
1711168388.861,-21.484,21.973,14.160,24.414,79.102
1711168388.864,24.902,21.973,16.602,8.789,14.648
1711168388.868,46.875,27.344,14.160,-5.859,28.809
1711168388.872,23.926,30.762,14.160,7.812,43.945
1711168388.876,11.230,30.762,13.672,33.203,-0.977
1711168388.880,38.086,27.832,14.648,36.133,37.598
1711168388.884,75.684,28.809,14.648,28.320,-1.465
1711168388.888,59.570,29.785,8.789,27.344,-19.531
1711168388.892,0.000,28.320,0.000,37.109,58.594
1711168388.896,0.000,25.391,0.000,31.250,72.754
1711168388.900,0.000,23.926,0.000,7.812,37.109
1711168388.904,0.000,26.855,0.000,2.930,28.320
1711168388.907,0.000,27.832,0.000,9.277,87.402
1711168388.911,0.000,26.367,0.000,15.625,82.520
1711168388.915,0.000,26.855,0.000,11.230,53.711
1711168388.919,0.000,26.367,0.000,6.836,95.215
1711168388.923,0.000,25.879,0.000,19.531,74.219
1711168388.927,0.000,25.879,0.000,19.043,16.113
1711168388.931,0.000,25.391,0.000,9.277,19.531
1711168388.935,0.000,22.949,0.000,23.438,49.805
1711168388.939,20.020,20.996,5.371,10.742,-5.371
